,relevent_experience,company_size,training_hours
2446,Has relevent experience,1000-4999,42
2447,No relevent experience,10000+,6
2448,Has relevent experience,100-500,134
2449,Has relevent experience,100-500,67
2450,Has relevent experience,50-99,6
2451,Has relevent experience,100-500,68
2452,No relevent experience,no experience,33
2453,Has relevent experience,5000-9999,107
2454,No relevent experience,no experience,8
2455,No relevent experience,1000-4999,52
2456,Has relevent experience,50-99,10
2457,Has relevent experience,no experience,34
2458,No relevent experience,no experience,31
2459,Has relevent experience,100-500,128
2460,No relevent experience,10000+,23
2461,Has relevent experience,5000-9999,67
2462,Has relevent experience,5000-9999,43
2463,Has relevent experience,10000+,320
2464,Has relevent experience,1000-4999,81
2465,Has relevent experience,5000-9999,19
2466,Has relevent experience,10000+,56
2467,Has relevent experience,no experience,66
2468,Has relevent experience,50-99,127
2469,No relevent experience,no experience,42
2470,Has relevent experience,no experience,31
2471,No relevent experience,50-99,65
2472,Has relevent experience,no experience,28
2473,No relevent experience,no experience,68
2474,Has relevent experience,<10,62
2475,Has relevent experience,100-500,3
2476,No relevent experience,no experience,112
2477,Has relevent experience,10/49,13
2478,Has relevent experience,<10,11
2479,No relevent experience,50-99,260
2480,Has relevent experience,50-99,54
2481,Has relevent experience,1000-4999,42
2482,Has relevent experience,50-99,44
2483,No relevent experience,5000-9999,65
2484,Has relevent experience,10000+,16
2485,Has relevent experience,10/49,50
2486,Has relevent experience,no experience,101
2487,Has relevent experience,10000+,64
2488,Has relevent experience,no experience,15
2489,No relevent experience,<10,320
2490,Has relevent experience,100-500,11
2491,Has relevent experience,50-99,36
2492,No relevent experience,no experience,10
2493,No relevent experience,no experience,81
2494,Has relevent experience,100-500,48
2495,No relevent experience,no experience,12
2496,Has relevent experience,100-500,26
2497,Has relevent experience,no experience,51
2498,Has relevent experience,no experience,18
2499,Has relevent experience,100-500,106
2500,Has relevent experience,10000+,58
2501,No relevent experience,no experience,236
2502,Has relevent experience,10/49,113
2503,Has relevent experience,<10,80
2504,Has relevent experience,no experience,47
2505,Has relevent experience,50-99,153
2506,Has relevent experience,1000-4999,28
2507,Has relevent experience,no experience,61
2508,Has relevent experience,1000-4999,48
2509,Has relevent experience,100-500,96
2510,Has relevent experience,100-500,54
2511,Has relevent experience,50-99,34
2512,No relevent experience,no experience,190
2513,Has relevent experience,100-500,6
2514,Has relevent experience,10/49,114
2515,Has relevent experience,50-99,37
2516,Has relevent experience,10000+,64
2517,Has relevent experience,100-500,17
2518,No relevent experience,no experience,222
2519,Has relevent experience,no experience,226
2520,Has relevent experience,10000+,101
2521,Has relevent experience,100-500,22
2522,Has relevent experience,500-999,170
2523,Has relevent experience,50-99,276
2524,Has relevent experience,50-99,51
2525,Has relevent experience,50-99,95
2526,Has relevent experience,100-500,74
2527,Has relevent experience,<10,96
2528,No relevent experience,100-500,17
2529,Has relevent experience,50-99,81
2530,No relevent experience,500-999,46
2531,Has relevent experience,no experience,102
2532,Has relevent experience,10/49,70
2533,No relevent experience,50-99,89
2534,No relevent experience,100-500,58
2535,Has relevent experience,1000-4999,104
2536,Has relevent experience,<10,45
2537,Has relevent experience,10/49,109
2538,Has relevent experience,100-500,109
2539,No relevent experience,10000+,12
2540,No relevent experience,no experience,20
2541,Has relevent experience,500-999,3
2542,Has relevent experience,100-500,44
2543,No relevent experience,no experience,7
2544,Has relevent experience,no experience,12
2545,No relevent experience,50-99,96
2546,Has relevent experience,no experience,62
2547,Has relevent experience,100-500,84
2548,Has relevent experience,<10,36
2549,Has relevent experience,50-99,21
2550,Has relevent experience,50-99,48
2551,Has relevent experience,10/49,11
2552,Has relevent experience,1000-4999,104
2553,Has relevent experience,500-999,36
2554,Has relevent experience,1000-4999,70
2555,No relevent experience,no experience,18
2556,Has relevent experience,no experience,134
2557,No relevent experience,no experience,53
2558,Has relevent experience,no experience,34
2559,Has relevent experience,10000+,38
2560,Has relevent experience,100-500,18
2561,No relevent experience,<10,69
2562,Has relevent experience,<10,3
2563,No relevent experience,no experience,55
2564,No relevent experience,no experience,143
2565,Has relevent experience,100-500,40
2566,Has relevent experience,no experience,100
2567,Has relevent experience,100-500,11
2568,No relevent experience,no experience,86
2569,No relevent experience,no experience,11
2570,Has relevent experience,<10,114
2571,Has relevent experience,100-500,19
2572,Has relevent experience,<10,100
2573,Has relevent experience,1000-4999,112
2574,No relevent experience,<10,85
2575,Has relevent experience,100-500,74
2576,Has relevent experience,50-99,31
2577,No relevent experience,no experience,15
2578,No relevent experience,no experience,163
2579,Has relevent experience,no experience,56
2580,No relevent experience,no experience,141
2581,No relevent experience,no experience,12
2582,No relevent experience,50-99,20
2583,Has relevent experience,<10,31
2584,Has relevent experience,10000+,30
2585,Has relevent experience,50-99,109
2586,Has relevent experience,5000-9999,160
2587,Has relevent experience,50-99,31
2588,Has relevent experience,no experience,70
2589,No relevent experience,no experience,68
2590,Has relevent experience,50-99,43
2591,Has relevent experience,50-99,118
2592,Has relevent experience,10000+,54
2593,Has relevent experience,10/49,8
2594,Has relevent experience,500-999,140
2595,Has relevent experience,no experience,66
2596,Has relevent experience,1000-4999,148
2597,Has relevent experience,no experience,10
2598,Has relevent experience,50-99,108
2599,Has relevent experience,no experience,134
2600,Has relevent experience,100-500,63
2601,Has relevent experience,10000+,58
2602,No relevent experience,100-500,8
2603,Has relevent experience,no experience,122
2604,Has relevent experience,10/49,72
2605,Has relevent experience,100-500,50
2606,Has relevent experience,1000-4999,20
2607,Has relevent experience,5000-9999,4
2608,Has relevent experience,50-99,280
2609,No relevent experience,no experience,140
2610,No relevent experience,no experience,204
2611,Has relevent experience,50-99,38
2612,No relevent experience,no experience,210
2613,Has relevent experience,10/49,114
2614,Has relevent experience,100-500,167
2615,Has relevent experience,no experience,56
2616,No relevent experience,no experience,21
2617,Has relevent experience,100-500,6
2618,Has relevent experience,5000-9999,9
2619,Has relevent experience,50-99,316
2620,No relevent experience,10000+,37
2621,Has relevent experience,no experience,88
2622,No relevent experience,<10,2
2623,Has relevent experience,100-500,102
2624,Has relevent experience,10000+,33
2625,Has relevent experience,5000-9999,25
2626,Has relevent experience,no experience,77
2627,No relevent experience,10000+,18
2628,Has relevent experience,5000-9999,206
2629,Has relevent experience,10000+,7
2630,Has relevent experience,<10,4
2631,No relevent experience,10/49,45
2632,No relevent experience,no experience,188
2633,Has relevent experience,50-99,56
2634,Has relevent experience,500-999,99
2635,Has relevent experience,10000+,16
2636,Has relevent experience,50-99,64
2637,Has relevent experience,no experience,102
2638,No relevent experience,100-500,54
2639,No relevent experience,no experience,53
2640,No relevent experience,no experience,29
2641,Has relevent experience,10/49,56
2642,Has relevent experience,no experience,47
2643,Has relevent experience,no experience,108
2644,No relevent experience,no experience,28
2645,Has relevent experience,50-99,79
2646,No relevent experience,500-999,26
2647,No relevent experience,no experience,96
2648,No relevent experience,no experience,29
2649,Has relevent experience,10000+,13
2650,Has relevent experience,50-99,24
2651,Has relevent experience,100-500,58
2652,Has relevent experience,<10,25
2653,Has relevent experience,10/49,24
2654,Has relevent experience,50-99,166
2655,Has relevent experience,50-99,8
2656,Has relevent experience,10000+,5
2657,No relevent experience,no experience,14
2658,Has relevent experience,10000+,328
2659,Has relevent experience,10000+,52
2660,No relevent experience,no experience,190
2661,Has relevent experience,10000+,116
2662,Has relevent experience,100-500,8
2663,No relevent experience,10000+,7
2664,Has relevent experience,10/49,69
2665,Has relevent experience,<10,31
2666,Has relevent experience,no experience,39
2667,Has relevent experience,10/49,45
2668,Has relevent experience,no experience,76
2669,Has relevent experience,no experience,59
2670,Has relevent experience,no experience,33
2671,Has relevent experience,100-500,254
2672,No relevent experience,10000+,17
2673,Has relevent experience,<10,56
2674,Has relevent experience,50-99,82
2675,Has relevent experience,50-99,30
2676,Has relevent experience,1000-4999,15
2677,No relevent experience,no experience,28
2678,Has relevent experience,no experience,160
2679,Has relevent experience,100-500,17
2680,Has relevent experience,10/49,10
2681,Has relevent experience,100-500,166
2682,Has relevent experience,5000-9999,78
2683,Has relevent experience,50-99,68
2684,Has relevent experience,500-999,23
2685,Has relevent experience,100-500,64
2686,Has relevent experience,50-99,3
2687,No relevent experience,no experience,21
2688,Has relevent experience,no experience,64
2689,Has relevent experience,10000+,69
2690,Has relevent experience,no experience,96
2691,Has relevent experience,no experience,62
2692,No relevent experience,<10,246
2693,Has relevent experience,100-500,44
2694,Has relevent experience,1000-4999,154
2695,Has relevent experience,10/49,42
2696,Has relevent experience,no experience,56
2697,No relevent experience,no experience,20
2698,Has relevent experience,10/49,222
2699,Has relevent experience,no experience,18
2700,Has relevent experience,50-99,81
2701,Has relevent experience,10000+,25
2702,Has relevent experience,no experience,138
2703,Has relevent experience,no experience,43
2704,Has relevent experience,<10,52
2705,Has relevent experience,10000+,69
2706,Has relevent experience,no experience,48
2707,No relevent experience,10000+,67
2708,Has relevent experience,100-500,74
2709,Has relevent experience,100-500,246
2710,Has relevent experience,100-500,278
2711,Has relevent experience,500-999,51
2712,No relevent experience,50-99,50
2713,Has relevent experience,10/49,72
